YEAR,MARKS_SCORED,CATEGORY,GENDER,PWD_STATUS,EXPECTED_GENERAL_RANK_MIN,EXPECTED_GENERAL_RANK_MAX,EXPECTED_CATEGORY_RANK_MIN,EXPECTED_CATEGORY_RANK_MAX
2025,-19,ST,M,Yes,1259850,1260150,4150,4250
2025,-19,ST,F,No,1259850,1260150,79752,79847
2025,-19,ST,F,Yes,1259850,1260150,3942,4037
2025,-18,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,-18,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,-18,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,-18,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,-18,EWS,M,No,1259850,1260150,359950,360050
2025,-18,EWS,M,Yes,1259850,1260150,17950,18050
2025,-18,EWS,F,No,1259850,1260150,341952,342047
2025,-18,EWS,F,Yes,1259850,1260150,17052,17147
2025,-18,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,-18,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,-18,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,-18,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,-18,SC,M,No,1259850,1260150,139950,140050
2025,-18,SC,M,Yes,1259850,1260150,6950,7050
2025,-18,SC,F,No,1259850,1260150,132952,133047
2025,-18,SC,F,Yes,1259850,1260150,6602,6697
2025,-18,ST,M,No,1259850,1260150,83950,84050
2025,-18,ST,M,Yes,1259850,1260150,4150,4250
2025,-18,ST,F,No,1259850,1260150,79752,79847
2025,-18,ST,F,Yes,1259850,1260150,3942,4037
2025,-17,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,-17,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,-17,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,-17,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,-17,EWS,M,No,1259850,1260150,359950,360050
2025,-17,EWS,M,Yes,1259850,1260150,17950,18050
2025,-17,EWS,F,No,1259850,1260150,341952,342047
2025,-17,EWS,F,Yes,1259850,1260150,17052,17147
2025,-17,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,-17,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,-17,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,-17,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,-17,SC,M,No,1259850,1260150,139950,140050
2025,-17,SC,M,Yes,1259850,1260150,6950,7050
2025,-17,SC,F,No,1259850,1260150,132952,133047
2025,-17,SC,F,Yes,1259850,1260150,6602,6697
2025,-17,ST,M,No,1259850,1260150,83950,84050
2025,-17,ST,M,Yes,1259850,1260150,4150,4250
2025,-17,ST,F,No,1259850,1260150,79752,79847
2025,-17,ST,F,Yes,1259850,1260150,3942,4037
2025,-16,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,-16,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,-16,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,-16,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,-16,EWS,M,No,1259850,1260150,359950,360050
2025,-16,EWS,M,Yes,1259850,1260150,17950,18050
2025,-16,EWS,F,No,1259850,1260150,341952,342047
2025,-16,EWS,F,Yes,1259850,1260150,17052,17147
2025,-16,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,-16,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,-16,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,-16,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,-16,SC,M,No,1259850,1260150,139950,140050
2025,-16,SC,M,Yes,1259850,1260150,6950,7050
2025,-16,SC,F,No,1259850,1260150,132952,133047
2025,-16,SC,F,Yes,1259850,1260150,6602,6697
2025,-16,ST,M,No,1259850,1260150,83950,84050
2025,-16,ST,M,Yes,1259850,1260150,4150,4250
2025,-16,ST,F,No,1259850,1260150,79752,79847
2025,-16,ST,F,Yes,1259850,1260150,3942,4037
2025,-15,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,-15,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,-15,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,-15,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,-15,EWS,M,No,1259850,1260150,359950,360050
2025,-15,EWS,M,Yes,1259850,1260150,17950,18050
2025,-15,EWS,F,No,1259850,1260150,341952,342047
2025,-15,EWS,F,Yes,1259850,1260150,17052,17147
2025,-15,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,-15,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,-15,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,-15,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,-15,SC,M,No,1259850,1260150,139950,140050
2025,-15,SC,M,Yes,1259850,1260150,6950,7050
2025,-15,SC,F,No,1259850,1260150,132952,133047
2025,-15,SC,F,Yes,1259850,1260150,6602,6697
2025,-15,ST,M,No,1259850,1260150,83950,84050
2025,-15,ST,M,Yes,1259850,1260150,4150,4250
2025,-15,ST,F,No,1259850,1260150,79752,79847
2025,-15,ST,F,Yes,1259850,1260150,3942,4037
2025,-14,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,-14,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,-14,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,-14,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,-14,EWS,M,No,1259850,1260150,359950,360050
2025,-14,EWS,M,Yes,1259850,1260150,17950,18050
2025,-14,EWS,F,No,1259850,1260150,341952,342047
2025,-14,EWS,F,Yes,1259850,1260150,17052,17147
2025,-14,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,-14,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,-14,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,-14,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,-14,SC,M,No,1259850,1260150,139950,140050
2025,-14,SC,M,Yes,1259850,1260150,6950,7050
2025,-14,SC,F,No,1259850,1260150,132952,133047
2025,-14,SC,F,Yes,1259850,1260150,6602,6697
2025,-14,ST,M,No,1259850,1260150,83950,84050
2025,-14,ST,M,Yes,1259850,1260150,4150,4250
2025,-14,ST,F,No,1259850,1260150,79752,79847
2025,-14,ST,F,Yes,1259850,1260150,3942,4037
2025,-13,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,-13,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,-13,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,-13,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,-13,EWS,M,No,1259850,1260150,359950,360050
2025,-13,EWS,M,Yes,1259850,1260150,17950,18050
2025,-13,EWS,F,No,1259850,1260150,341952,342047
2025,-13,EWS,F,Yes,1259850,1260150,17052,17147
2025,-13,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,-13,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,-13,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,-13,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,-13,SC,M,No,1259850,1260150,139950,140050
2025,-13,SC,M,Yes,1259850,1260150,6950,7050
2025,-13,SC,F,No,1259850,1260150,132952,133047
2025,-13,SC,F,Yes,1259850,1260150,6602,6697
2025,-13,ST,M,No,1259850,1260150,83950,84050
2025,-13,ST,M,Yes,1259850,1260150,4150,4250
2025,-13,ST,F,No,1259850,1260150,79752,79847
2025,-13,ST,F,Yes,1259850,1260150,3942,4037
2025,-12,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,-12,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,-12,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,-12,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,-12,EWS,M,No,1259850,1260150,359950,360050
2025,-12,EWS,M,Yes,1259850,1260150,17950,18050
2025,-12,EWS,F,No,1259850,1260150,341952,342047
2025,-12,EWS,F,Yes,1259850,1260150,17052,17147
2025,-12,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,-12,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,-12,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,-12,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,-12,SC,M,No,1259850,1260150,139950,140050
2025,-12,SC,M,Yes,1259850,1260150,6950,7050
2025,-12,SC,F,No,1259850,1260150,132952,133047
2025,-12,SC,F,Yes,1259850,1260150,6602,6697
2025,-12,ST,M,No,1259850,1260150,83950,84050
2025,-12,ST,M,Yes,1259850,1260150,4150,4250
2025,-12,ST,F,No,1259850,1260150,79752,79847
2025,-12,ST,F,Yes,1259850,1260150,3942,4037
2025,-11,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,-11,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,-11,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,-11,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,-11,EWS,M,No,1259850,1260150,359950,360050
2025,-11,EWS,M,Yes,1259850,1260150,17950,18050
2025,-11,EWS,F,No,1259850,1260150,341952,342047
2025,-11,EWS,F,Yes,1259850,1260150,17052,17147
2025,-11,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,-11,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,-11,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,-11,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,-11,SC,M,No,1259850,1260150,139950,140050
2025,-11,SC,M,Yes,1259850,1260150,6950,7050
2025,-11,SC,F,No,1259850,1260150,132952,133047
2025,-11,SC,F,Yes,1259850,1260150,6602,6697
2025,-11,ST,M,No,1259850,1260150,83950,84050
2025,-11,ST,M,Yes,1259850,1260150,4150,4250
2025,-11,ST,F,No,1259850,1260150,79752,79847
2025,-11,ST,F,Yes,1259850,1260150,3942,4037
2025,-10,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,-10,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,-10,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,-10,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,-10,EWS,M,No,1259850,1260150,359950,360050
2025,-10,EWS,M,Yes,1259850,1260150,17950,18050
2025,-10,EWS,F,No,1259850,1260150,341952,342047
2025,-10,EWS,F,Yes,1259850,1260150,17052,17147
2025,-10,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,-10,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,-10,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,-10,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,-10,SC,M,No,1259850,1260150,139950,140050
2025,-10,SC,M,Yes,1259850,1260150,6950,7050
2025,-10,SC,F,No,1259850,1260150,132952,133047
2025,-10,SC,F,Yes,1259850,1260150,6602,6697
2025,-10,ST,M,No,1259850,1260150,83950,84050
2025,-10,ST,M,Yes,1259850,1260150,4150,4250
2025,-10,ST,F,No,1259850,1260150,79752,79847
2025,-10,ST,F,Yes,1259850,1260150,3942,4037
2025,-9,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,-9,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,-9,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,-9,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,-9,EWS,M,No,1259850,1260150,359950,360050
2025,-9,EWS,M,Yes,1259850,1260150,17950,18050
2025,-9,EWS,F,No,1259850,1260150,341952,342047
2025,-9,EWS,F,Yes,1259850,1260150,17052,17147
2025,-9,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,-9,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,-9,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,-9,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,-9,SC,M,No,1259850,1260150,139950,140050
2025,-9,SC,M,Yes,1259850,1260150,6950,7050
2025,-9,SC,F,No,1259850,1260150,132952,133047
2025,-9,SC,F,Yes,1259850,1260150,6602,6697
2025,-9,ST,M,No,1259850,1260150,83950,84050
2025,-9,ST,M,Yes,1259850,1260150,4150,4250
2025,-9,ST,F,No,1259850,1260150,79752,79847
2025,-9,ST,F,Yes,1259850,1260150,3942,4037
2025,-8,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,-8,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,-8,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,-8,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,-8,EWS,M,No,1259850,1260150,359950,360050
2025,-8,EWS,M,Yes,1259850,1260150,17950,18050
2025,-8,EWS,F,No,1259850,1260150,341952,342047
2025,-8,EWS,F,Yes,1259850,1260150,17052,17147
2025,-8,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,-8,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,-8,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,-8,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,-8,SC,M,No,1259850,1260150,139950,140050
2025,-8,SC,M,Yes,1259850,1260150,6950,7050
2025,-8,SC,F,No,1259850,1260150,132952,133047
2025,-8,SC,F,Yes,1259850,1260150,6602,6697
2025,-8,ST,M,No,1259850,1260150,83950,84050
2025,-8,ST,M,Yes,1259850,1260150,4150,4250
2025,-8,ST,F,No,1259850,1260150,79752,79847
2025,-8,ST,F,Yes,1259850,1260150,3942,4037
2025,-7,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,-7,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,-7,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,-7,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,-7,EWS,M,No,1259850,1260150,359950,360050
2025,-7,EWS,M,Yes,1259850,1260150,17950,18050
2025,-7,EWS,F,No,1259850,1260150,341952,342047
2025,-7,EWS,F,Yes,1259850,1260150,17052,17147
2025,-7,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,-7,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,-7,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,-7,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,-7,SC,M,No,1259850,1260150,139950,140050
2025,-7,SC,M,Yes,1259850,1260150,6950,7050
2025,-7,SC,F,No,1259850,1260150,132952,133047
2025,-7,SC,F,Yes,1259850,1260150,6602,6697
2025,-7,ST,M,No,1259850,1260150,83950,84050
2025,-7,ST,M,Yes,1259850,1260150,4150,4250
2025,-7,ST,F,No,1259850,1260150,79752,79847
2025,-7,ST,F,Yes,1259850,1260150,3942,4037
2025,-6,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,-6,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,-6,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,-6,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,-6,EWS,M,No,1259850,1260150,359950,360050
2025,-6,EWS,M,Yes,1259850,1260150,17950,18050
2025,-6,EWS,F,No,1259850,1260150,341952,342047
2025,-6,EWS,F,Yes,1259850,1260150,17052,17147
2025,-6,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,-6,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,-6,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,-6,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,-6,SC,M,No,1259850,1260150,139950,140050
2025,-6,SC,M,Yes,1259850,1260150,6950,7050
2025,-6,SC,F,No,1259850,1260150,132952,133047
2025,-6,SC,F,Yes,1259850,1260150,6602,6697
2025,-6,ST,M,No,1259850,1260150,83950,84050
2025,-6,ST,M,Yes,1259850,1260150,4150,4250
2025,-6,ST,F,No,1259850,1260150,79752,79847
2025,-6,ST,F,Yes,1259850,1260150,3942,4037
2025,-5,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,-5,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,-5,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,-5,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,-5,EWS,M,No,1259850,1260150,359950,360050
2025,-5,EWS,M,Yes,1259850,1260150,17950,18050
2025,-5,EWS,F,No,1259850,1260150,341952,342047
2025,-5,EWS,F,Yes,1259850,1260150,17052,17147
2025,-5,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,-5,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,-5,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,-5,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,-5,SC,M,No,1259850,1260150,139950,140050
2025,-5,SC,M,Yes,1259850,1260150,6950,7050
2025,-5,SC,F,No,1259850,1260150,132952,133047
2025,-5,SC,F,Yes,1259850,1260150,6602,6697
2025,-5,ST,M,No,1259850,1260150,83950,84050
2025,-5,ST,M,Yes,1259850,1260150,4150,4250
2025,-5,ST,F,No,1259850,1260150,79752,79847
2025,-5,ST,F,Yes,1259850,1260150,3942,4037
2025,-4,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,-4,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,-4,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,-4,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,-4,EWS,M,No,1259850,1260150,359950,360050
2025,-4,EWS,M,Yes,1259850,1260150,17950,18050
2025,-4,EWS,F,No,1259850,1260150,341952,342047
2025,-4,EWS,F,Yes,1259850,1260150,17052,17147
2025,-4,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,-4,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,-4,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,-4,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,-4,SC,M,No,1259850,1260150,139950,140050
2025,-4,SC,M,Yes,1259850,1260150,6950,7050
2025,-4,SC,F,No,1259850,1260150,132952,133047
2025,-4,SC,F,Yes,1259850,1260150,6602,6697
2025,-4,ST,M,No,1259850,1260150,83950,84050
2025,-4,ST,M,Yes,1259850,1260150,4150,4250
2025,-4,ST,F,No,1259850,1260150,79752,79847
2025,-4,ST,F,Yes,1259850,1260150,3942,4037
2025,-3,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,-3,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,-3,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,-3,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,-3,EWS,M,No,1259850,1260150,359950,360050
2025,-3,EWS,M,Yes,1259850,1260150,17950,18050
2025,-3,EWS,F,No,1259850,1260150,341952,342047
2025,-3,EWS,F,Yes,1259850,1260150,17052,17147
2025,-3,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,-3,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,-3,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,-3,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,-3,SC,M,No,1259850,1260150,139950,140050
2025,-3,SC,M,Yes,1259850,1260150,6950,7050
2025,-3,SC,F,No,1259850,1260150,132952,133047
2025,-3,SC,F,Yes,1259850,1260150,6602,6697
2025,-3,ST,M,No,1259850,1260150,83950,84050
2025,-3,ST,M,Yes,1259850,1260150,4150,4250
2025,-3,ST,F,No,1259850,1260150,79752,79847
2025,-3,ST,F,Yes,1259850,1260150,3942,4037
2025,-2,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,-2,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,-2,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,-2,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,-2,EWS,M,No,1259850,1260150,359950,360050
2025,-2,EWS,M,Yes,1259850,1260150,17950,18050
2025,-2,EWS,F,No,1259850,1260150,341952,342047
2025,-2,EWS,F,Yes,1259850,1260150,17052,17147
2025,-2,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,-2,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,-2,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,-2,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,-2,SC,M,No,1259850,1260150,139950,140050
2025,-2,SC,M,Yes,1259850,1260150,6950,7050
2025,-2,SC,F,No,1259850,1260150,132952,133047
2025,-2,SC,F,Yes,1259850,1260150,6602,6697
2025,-2,ST,M,No,1259850,1260150,83950,84050
2025,-2,ST,M,Yes,1259850,1260150,4150,4250
2025,-2,ST,F,No,1259850,1260150,79752,79847
2025,-2,ST,F,Yes,1259850,1260150,3942,4037
2025,-1,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,-1,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,-1,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,-1,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,-1,EWS,M,No,1259850,1260150,359950,360050
2025,-1,EWS,M,Yes,1259850,1260150,17950,18050
2025,-1,EWS,F,No,1259850,1260150,341952,342047
2025,-1,EWS,F,Yes,1259850,1260150,17052,17147
2025,-1,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,-1,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,-1,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,-1,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,-1,SC,M,No,1259850,1260150,139950,140050
2025,-1,SC,M,Yes,1259850,1260150,6950,7050
2025,-1,SC,F,No,1259850,1260150,132952,133047
2025,-1,SC,F,Yes,1259850,1260150,6602,6697
2025,-1,ST,M,No,1259850,1260150,83950,84050
2025,-1,ST,M,Yes,1259850,1260150,4150,4250
2025,-1,ST,F,No,1259850,1260150,79752,79847
2025,-1,ST,F,Yes,1259850,1260150,3942,4037
2025,0,GENERAL,M,No,1259850,1260150,1259950,1260050
2025,0,GENERAL,M,Yes,1259850,1260150,62950,63050
2025,0,GENERAL,F,No,1259850,1260150,1196952,1197047
2025,0,GENERAL,F,Yes,1259850,1260150,59802,59897
2025,0,EWS,M,No,1259850,1260150,359950,360050
2025,0,EWS,M,Yes,1259850,1260150,17950,18050
2025,0,EWS,F,No,1259850,1260150,341952,342047
2025,0,EWS,F,Yes,1259850,1260150,17052,17147
2025,0,OBC-NCL,M,No,1259850,1260150,314950,315050
2025,0,OBC-NCL,M,Yes,1259850,1260150,15700,15800
2025,0,OBC-NCL,F,No,1259850,1260150,299202,299297
2025,0,OBC-NCL,F,Yes,1259850,1260150,14915,15010
2025,0,SC,M,No,1259850,1260150,139950,140050
2025,0,SC,M,Yes,1259850,1260150,6950,7050
2025,0,SC,F,No,1259850,1260150,132952,133047
2025,0,SC,F,Yes,1259850,1260150,6602,6697
2025,0,ST,M,No,1259850,1260150,83950,84050
2025,0,ST,M,Yes,1259850,1260150,4150,4250
2025,0,ST,F,No,1259850,1260150,79752,79847
2025,0,ST,F,Yes,1259850,1260150,3942,4037
2025,1,GENERAL,M,No,1223222,1223522,1223322,1223422
2025,1,GENERAL,M,Yes,1223222,1223522,61118,61218
2025,1,GENERAL,F,No,1223222,1223522,1162155,1162250
2025,1,GENERAL,F,Yes,1223222,1223522,58062,58157
2025,1,EWS,M,No,1223222,1223522,349485,349585
2025,1,EWS,M,Yes,1223222,1223522,17426,17526
2025,1,EWS,F,No,1223222,1223522,332010,332105
2025,1,EWS,F,Yes,1223222,1223522,16554,16649
2025,1,OBC-NCL,M,No,1223222,1223522,305793,305893
2025,1,OBC-NCL,M,Yes,1223222,1223522,15242,15342
2025,1,OBC-NCL,F,No,1223222,1223522,290503,290598
2025,1,OBC-NCL,F,Yes,1223222,1223522,14479,14574
2025,1,SC,M,No,1223222,1223522,135880,135980
2025,1,SC,M,Yes,1223222,1223522,6746,6846
2025,1,SC,F,No,1223222,1223522,129086,129181
2025,1,SC,F,Yes,1223222,1223522,6408,6503
2025,1,ST,M,No,1223222,1223522,81508,81608
2025,1,ST,M,Yes,1223222,1223522,4027,4127
2025,1,ST,F,No,1223222,1223522,77432,77527
2025,1,ST,F,Yes,1223222,1223522,3825,3920
2025,2,GENERAL,M,No,1187660,1187960,1187760,1187860
2025,2,GENERAL,M,Yes,1187660,1187960,59340,59440
2025,2,GENERAL,F,No,1187660,1187960,1128372,1128467
2025,2,GENERAL,F,Yes,1187660,1187960,56373,56468
2025,2,EWS,M,No,1187660,1187960,339324,339424
2025,2,EWS,M,Yes,1187660,1187960,16918,17018
2025,2,EWS,F,No,1187660,1187960,322357,322452
2025,2,EWS,F,Yes,1187660,1187960,16072,16167
2025,2,OBC-NCL,M,No,1187660,1187960,296902,297002
2025,2,OBC-NCL,M,Yes,1187660,1187960,14797,14897
2025,2,OBC-NCL,F,No,1187660,1187960,282056,282151
2025,2,OBC-NCL,F,Yes,1187660,1187960,14057,14152
2025,2,SC,M,No,1187660,1187960,131928,132028
2025,2,SC,M,Yes,1187660,1187960,6548,6648
2025,2,SC,F,No,1187660,1187960,125331,125426
2025,2,SC,F,Yes,1187660,1187960,6220,6315
2025,2,ST,M,No,1187660,1187960,79137,79237
2025,2,ST,M,Yes,1187660,1187960,3909,4009
2025,2,ST,F,No,1187660,1187960,75180,75275
2025,2,ST,F,Yes,1187660,1187960,3713,3808
